meal_id,meal_name,meal_time,diet_type,meal_type,suitable_for,calories,protein,carbs,fats,fiber_g,glycemic_index,prep_time_min,is_gluten_free,is_diabetic_friendly,portion,scalable
23,Chicken Biryani + Raita,Lunch,Non-Veg,Surplus,"Weight Gain,Toning",656,32.2,64.0,26.0,3.3,Medium,24,Yes,No,1.1 × 200g veg pulao + 0.8 × 150g chicken curry + 1 × 100g raita,No
24,Grilled Chicken + Brown Rice + Salad,Dinner,Non-Veg,Deficit,"Weight Loss,Yoga",454,37.1,38.0,12.0,5.2,Low,25,Yes,Yes,1 × 150g grilled chicken + 1.2 × 100g brown rice + 1 × 100g salad,No
25,Roasted Chana + Chai,Snack,Veg,Balanced,"Toning,Yoga",220,10.5,32.0,4.0,8.0,Medium,12,Yes,Yes,1 × 40g roasted chana + 1 × 150ml masala chai,No
26,Paneer Curry + 2 Rotis + Salad,Dinner,Veg,Balanced,"Toning,Yoga",610,26.0,58.0,29.0,8.0,Medium,14,No,Yes,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad,Yes
27,Paneer Curry + 2 Rotis + Salad + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",690,29.0,64.0,32.0,8.0,Medium,29,No,No,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml chaas,No
28,Chicken Biryani + Raita,Lunch,Non-Veg,Surplus,"Weight Gain,Toning",656,32.2,64.0,26.0,3.3,Medium,35,Yes,No,1.1 × 200g veg pulao + 0.8 × 150g chicken curry + 1 × 100g raita,Yes
29,Egg Bhurji + 2 Rotis + Chai,Breakfast,Non-Veg,Surplus,"Weight Gain,Toning",520,21.5,52.0,24.0,4.0,High,15,No,No,1 × 2 eggs bhurji (100g) + 2 × 1 roti (50g) + 1 × 150ml masala chai,No
30,Khichdi + Salad + Buttermilk,Lunch,Veg,Deficit,"Weight Loss,Yoga",480,17.0,69.0,12.0,9.0,Low,12,Yes,Yes,1 × 250g khichdi + 1 × 100g salad + 1 × 200ml buttermilk,Yes
31,Chicken Curry + 2 Rotis + Salad + Chaas,Lunch,Non-Veg,Balanced,"Toning,Yoga",650,38.0,58.0,26.0,7.0,Medium,34,No,Yes,1 × 150g chicken curry + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml chaas,No
32,Millet Rotis + Palak Paneer + Salad,Dinner,Veg,Balanced,"Toning,Yoga",550,24.0,64.0,21.0,12.0,Medium,24,Yes,Yes,2 × 1 millet roti (50g) + 1 × 150g palak paneer + 1 × 100g salad,No
33,Paratha + Curd + Chai,Breakfast,Veg,Deficit,"Weight Loss,Yoga",320,9.0,40.0,13.0,3.0,Medium,17,No,Yes,1 × 1 paratha (80g) + 1 × 100g curd + 1 × 150ml masala chai,No
34,Besan Chilla + Chutney + Chaas,Breakfast,Veg,Balanced,"Toning,Yoga",400,17.0,40.0,14.0,6.0,Low,20,Yes,Yes,1 × 2 besan chillas (150g) + 1 × 30g chutney + 1 × 200ml chaas,No
35,Poha + Sprouts + Chai,Breakfast,Veg,Balanced,"Toning,Yoga",460,14.5,76.0,11.0,8.0,Medium,26,Yes,Yes,1 × 150g poha + 1 × 100g sprouts salad + 1 × 150ml masala chai,Yes
36,Upma + Coconut Water,Breakfast,Veg,Deficit,"Weight Loss,Yoga",315,6.0,56.0,8.0,2.0,Medium,15,No,Yes,1 × 150g upma + 1 × 200ml coconut water,Yes
37,Fruit Bowl + Buttermilk,Snack,Veg,Deficit,"Weight Loss,Yoga",132,3.3,20.0,3.0,2.4,Medium,28,Yes,Yes,1 × 100g apple + 1 × 200ml buttermilk,No
38,Dosa + Sambar + Chutney,Breakfast,Veg,Balanced,"Toning,Yoga",360,10.0,51.0,12.0,5.0,Medium,26,Yes,Yes,1 × 1 dosa (120g) + 1 × 150g sambar + 1 × 30g chutney,Yes
39,Egg Curry + 2 Rotis + Salad,Dinner,Non-Veg,Balanced,"Toning,Yoga",540,24.0,54.0,23.0,7.0,Medium,31,No,Yes,1 × 2 eggs curry (150g) + 2 × 1 roti (50g) + 1 × 100g salad,Yes
40,Grilled Chicken + Brown Rice + Curd + Salad,Lunch,Non-Veg,Balanced,"Toning,Yoga",550,41.4,50.0,16.0,5.7,Low,32,Yes,Yes,1 × 150g grilled chicken + 1.5 × 100g brown rice + 1 × 100g curd + 1 × 100g salad,Yes
41,Paneer Curry + 2 Rotis + Salad,Dinner,Veg,Balanced,"Toning,Yoga",610,26.0,58.0,29.0,8.0,Medium,13,No,Yes,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad,No
42,Rajma + Jeera Rice + Salad + Chaas,Lunch,Veg,Balanced,"Toning,Yoga",550,20.8,90.0,10.0,11.8,Medium,25,Yes,Yes,1 × 150g rajma + 1.5 × 100g jeera rice + 1 × 100g salad + 1 × 200ml chaas,No
43,Veg Soup + Salad,Snack,Veg,Deficit,"Weight Loss,Yoga",150,6.0,23.0,4.0,6.0,Low,15,Yes,Yes,1 × 150g sambar + 1 × 100g salad,No
44,Millet Rotis + Dal + Mix Veg + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",660,22.0,94.0,19.0,17.0,Medium,10,Yes,No,2 × 1 millet roti (50g) + 1 × 150g dal + 1 × 150g mixed veg sabzi + 1 × 200ml chaas,Yes
45,Chole + 2 Rotis + Salad + Buttermilk,Lunch,Veg,Balanced,"Toning,Yoga",610,23.0,82.0,18.0,14.0,Medium,20,No,Yes,1 × 150g chole + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml buttermilk,No
46,Boiled Eggs + Lime Water,Snack,Non-Veg,Deficit,"Weight Loss,Yoga",174,9.8,8.0,11.0,0.0,Low,27,Yes,Yes,0.7 × 2 eggs bhurji (100g) + 1 × 200ml fresh lime water,No
47,Millet Rotis + Palak Paneer + Salad,Dinner,Veg,Balanced,"Toning,Yoga",550,24.0,64.0,21.0,12.0,Medium,14,Yes,Yes,2 × 1 millet roti (50g) + 1 × 150g palak paneer + 1 × 100g salad,No
48,Grilled Chicken + Brown Rice + Curd + Salad,Lunch,Non-Veg,Balanced,"Toning,Yoga",550,41.4,50.0,16.0,5.7,Low,18,Yes,Yes,1 × 150g grilled chicken + 1.5 × 100g brown rice + 1 × 100g curd + 1 × 100g salad,No
49,Chicken Soup + Salad,Snack,Non-Veg,Balanced,"Toning,Yoga",190,15.5,10.0,9.0,3.0,Low,16,Yes,Yes,0.5 × 150g chicken curry + 1 × 100g salad,No
50,Roasted Chana + Chai,Snack,Veg,Balanced,"Toning,Yoga",220,10.5,32.0,4.0,8.0,Medium,13,Yes,Yes,1 × 40g roasted chana + 1 × 150ml masala chai,Yes
51,Veg Pulao + Raita,Dinner,Veg,Deficit,"Weight Loss,Yoga",368,9.4,51.0,11.0,2.7,Medium,18,Yes,Yes,0.9 × 200g veg pulao + 1 × 100g raita,No
52,Paneer Curry + 2 Rotis + Salad,Dinner,Veg,Balanced,"Toning,Yoga",610,26.0,58.0,29.0,8.0,Medium,22,No,Yes,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad,Yes
53,Paneer Curry + 2 Rotis + Salad,Dinner,Veg,Balanced,"Toning,Yoga",610,26.0,58.0,29.0,8.0,Medium,23,No,Yes,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad,No
54,2 Rotis + Dal + Bhindi + Salad + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",700,23.0,93.0,24.0,18.0,Medium,19,No,No,2 × 1 roti (50g) + 1 × 150g dal + 1 × 150g bhindi sabzi + 1 × 100g salad + 1 × 200ml chaas,No
55,Veg Pulao + Raita,Dinner,Veg,Deficit,"Weight Loss,Yoga",368,9.4,51.0,11.0,2.7,Medium,28,Yes,Yes,0.9 × 200g veg pulao + 1 × 100g raita,Yes
56,Paratha + Curd + Chai,Breakfast,Veg,Deficit,"Weight Loss,Yoga",320,9.0,40.0,13.0,3.0,Medium,34,No,Yes,1 × 1 paratha (80g) + 1 × 100g curd + 1 × 150ml masala chai,Yes
57,Egg Curry + 2 Rotis + Salad,Dinner,Non-Veg,Balanced,"Toning,Yoga",540,24.0,54.0,23.0,7.0,Medium,13,No,Yes,1 × 2 eggs curry (150g) + 2 × 1 roti (50g) + 1 × 100g salad,Yes
58,Idli Sambar + Chutney + Filter Coffee,Breakfast,Veg,Deficit,"Weight Loss,Yoga",350,12.0,56.0,8.0,5.0,Low,22,Yes,Yes,1 × 2 idlis (100g) + 1 × 150g sambar + 1 × 30g chutney + 1 × 150ml filter coffee,Yes
59,Veg Pulao + Raita + Salad,Lunch,Veg,Deficit,"Weight Loss,Yoga",450,12.0,64.0,13.0,6.0,Medium,26,Yes,Yes,1 × 200g veg pulao + 1 × 100g raita + 1 × 100g salad,Yes
60,Egg Curry + Rice + Salad + Buttermilk,Lunch,Non-Veg,Balanced,"Toning,Yoga",575,24.8,62.0,22.0,3.8,Medium,16,Yes,Yes,1 × 2 eggs curry (150g) + 1.5 × 100g steamed rice + 1 × 100g salad + 1 × 200ml buttermilk,No
61,Grilled Chicken + Brown Rice + Curd + Salad,Lunch,Non-Veg,Balanced,"Toning,Yoga",550,41.4,50.0,16.0,5.7,Low,30,Yes,Yes,1 × 150g grilled chicken + 1.5 × 100g brown rice + 1 × 100g curd + 1 × 100g salad,Yes
62,Paneer Curry + 2 Rotis + Salad + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",690,29.0,64.0,32.0,8.0,Medium,14,No,No,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml chaas,No
63,Egg Curry + 2 Rotis + Salad,Dinner,Non-Veg,Balanced,"Toning,Yoga",540,24.0,54.0,23.0,7.0,Medium,18,No,Yes,1 × 2 eggs curry (150g) + 2 × 1 roti (50g) + 1 × 100g salad,Yes
64,Besan Chilla + Chutney + Chaas,Breakfast,Veg,Balanced,"Toning,Yoga",400,17.0,40.0,14.0,6.0,Low,13,Yes,Yes,1 × 2 besan chillas (150g) + 1 × 30g chutney + 1 × 200ml chaas,Yes
65,2 Rotis + Dal + Mix Veg + Salad,Dinner,Veg,Balanced,"Toning,Yoga",650,22.0,92.0,21.0,18.0,Medium,29,No,No,2 × 1 roti (50g) + 1 × 150g dal + 1 × 150g mixed veg sabzi + 1 × 100g salad,Yes
66,Egg Curry + Rice + Salad + Buttermilk,Lunch,Non-Veg,Balanced,"Toning,Yoga",575,24.8,62.0,22.0,3.8,Medium,17,Yes,Yes,1 × 2 eggs curry (150g) + 1.5 × 100g steamed rice + 1 × 100g salad + 1 × 200ml buttermilk,No
67,2 Rotis + Dal + Bhindi + Salad + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",700,23.0,93.0,24.0,18.0,Medium,30,No,No,2 × 1 roti (50g) + 1 × 150g dal + 1 × 150g bhindi sabzi + 1 × 100g salad + 1 × 200ml chaas,No
68,Grilled Chicken + Brown Rice + Salad,Dinner,Non-Veg,Deficit,"Weight Loss,Yoga",454,37.1,38.0,12.0,5.2,Low,18,Yes,Yes,1 × 150g grilled chicken + 1.2 × 100g brown rice + 1 × 100g salad,No
69,2 Rotis + Dal + Bhindi + Salad + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",700,23.0,93.0,24.0,18.0,Medium,29,No,No,2 × 1 roti (50g) + 1 × 150g dal + 1 × 150g bhindi sabzi + 1 × 100g salad + 1 × 200ml chaas,Yes
70,Dosa + Sambar + Chutney,Breakfast,Veg,Balanced,"Toning,Yoga",360,10.0,51.0,12.0,5.0,Medium,30,Yes,Yes,1 × 1 dosa (120g) + 1 × 150g sambar + 1 × 30g chutney,No
71,Fruit Bowl + Buttermilk,Snack,Veg,Deficit,"Weight Loss,Yoga",132,3.3,20.0,3.0,2.4,Medium,11,Yes,Yes,1 × 100g apple + 1 × 200ml buttermilk,Yes
72,Oats Upma + Banana + Green Tea,Breakfast,Veg,Deficit,"Weight Loss,Yoga",321,8.1,61.0,5.0,8.6,Medium,13,Yes,Yes,1 × 150g oats upma + 1 × 100g banana + 1 × 150ml green tea,Yes
73,Chicken Curry + 2 Rotis + Salad + Chaas,Lunch,Non-Veg,Balanced,"Toning,Yoga",650,38.0,58.0,26.0,7.0,Medium,10,No,Yes,1 × 150g chicken curry + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml chaas,No
74,Khichdi + Salad + Buttermilk,Lunch,Veg,Deficit,"Weight Loss,Yoga",480,17.0,69.0,12.0,9.0,Low,24,Yes,Yes,1 × 250g khichdi + 1 × 100g salad + 1 × 200ml buttermilk,Yes
75,Boiled Eggs + Lime Water,Snack,Non-Veg,Deficit,"Weight Loss,Yoga",174,9.8,8.0,11.0,0.0,Low,18,Yes,Yes,0.7 × 2 eggs bhurji (100g) + 1 × 200ml fresh lime water,No
76,Boiled Eggs + Lime Water,Snack,Non-Veg,Deficit,"Weight Loss,Yoga",174,9.8,8.0,11.0,0.0,Low,19,Yes,Yes,0.7 × 2 eggs bhurji (100g) + 1 × 200ml fresh lime water,Yes
77,Moong Chilla + Curd,Breakfast,Veg,Deficit,"Weight Loss,Yoga",310,17.5,30.0,11.0,6.0,Low,25,Yes,Yes,1 × 2 moong chillas (150g) + 1 × 100g curd,Yes
78,Fruit Bowl + Buttermilk,Snack,Veg,Deficit,"Weight Loss,Yoga",132,3.3,20.0,3.0,2.4,Medium,32,Yes,Yes,1 × 100g apple + 1 × 200ml buttermilk,No
79,Chole + 2 Rotis + Salad + Buttermilk,Lunch,Veg,Balanced,"Toning,Yoga",610,23.0,82.0,18.0,14.0,Medium,21,No,Yes,1 × 150g chole + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml buttermilk,Yes
80,Egg Curry + 2 Rotis + Salad,Dinner,Non-Veg,Balanced,"Toning,Yoga",540,24.0,54.0,23.0,7.0,Medium,13,No,Yes,1 × 2 eggs curry (150g) + 2 × 1 roti (50g) + 1 × 100g salad,No
81,Besan Chilla + Chutney + Chaas,Breakfast,Veg,Balanced,"Toning,Yoga",400,17.0,40.0,14.0,6.0,Low,29,Yes,Yes,1 × 2 besan chillas (150g) + 1 × 30g chutney + 1 × 200ml chaas,Yes
82,Khichdi + Salad + Buttermilk,Lunch,Veg,Deficit,"Weight Loss,Yoga",480,17.0,69.0,12.0,9.0,Low,13,Yes,Yes,1 × 250g khichdi + 1 × 100g salad + 1 × 200ml buttermilk,No
83,Dhokla + Chutney + Coffee,Snack,Veg,Balanced,"Toning,Yoga",260,9.0,41.0,6.0,3.0,Low,26,No,Yes,1 × 100g dhokla + 1 × 30g chutney + 1 × 150ml filter coffee,Yes
84,Chicken Curry + 2 Rotis + Salad,Dinner,Non-Veg,Balanced,"Toning,Yoga",570,35.0,52.0,23.0,7.0,Medium,13,No,Yes,1 × 150g chicken curry + 2 × 1 roti (50g) + 1 × 100g salad,Yes
85,Omelette + Brown Bread + Coffee,Breakfast,Non-Veg,Deficit,"Weight Loss,Yoga",260,16.0,9.0,17.0,0.0,Low,23,No,Yes,1 × 2 eggs bhurji (100g) + 0 × 1 roti (50g) + 1 × 150ml filter coffee,No
86,Chicken Curry + 2 Rotis + Salad,Dinner,Non-Veg,Balanced,"Toning,Yoga",570,35.0,52.0,23.0,7.0,Medium,12,No,Yes,1 × 150g chicken curry + 2 × 1 roti (50g) + 1 × 100g salad,No
87,Millet Rotis + Dal + Mix Veg + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",660,22.0,94.0,19.0,17.0,Medium,25,Yes,No,2 × 1 millet roti (50g) + 1 × 150g dal + 1 × 150g mixed veg sabzi + 1 × 200ml chaas,Yes
88,Moong Chilla + Curd,Breakfast,Veg,Deficit,"Weight Loss,Yoga",310,17.5,30.0,11.0,6.0,Low,27,Yes,Yes,1 × 2 moong chillas (150g) + 1 × 100g curd,Yes
89,Paneer Tikka + Lime Water,Snack,Veg,Balanced,"Toning,Yoga",240,18.0,10.0,14.0,1.0,Low,16,Yes,Yes,1 × 100g paneer tikka + 1 × 200ml fresh lime water,No
90,Paneer Curry + 2 Rotis + Salad,Dinner,Veg,Balanced,"Toning,Yoga",610,26.0,58.0,29.0,8.0,Medium,30,No,Yes,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad,Yes
91,Paneer Curry + 2 Rotis + Salad + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",690,29.0,64.0,32.0,8.0,Medium,19,No,No,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml chaas,Yes
92,Rajma + Jeera Rice + Salad + Chaas,Lunch,Veg,Balanced,"Toning,Yoga",550,20.8,90.0,10.0,11.8,Medium,33,Yes,Yes,1 × 150g rajma + 1.5 × 100g jeera rice + 1 × 100g salad + 1 × 200ml chaas,No
93,Rajma + Jeera Rice + Salad + Chaas,Lunch,Veg,Balanced,"Toning,Yoga",550,20.8,90.0,10.0,11.8,Medium,10,Yes,Yes,1 × 150g rajma + 1.5 × 100g jeera rice + 1 × 100g salad + 1 × 200ml chaas,Yes
94,Veg Soup + Salad,Snack,Veg,Deficit,"Weight Loss,Yoga",150,6.0,23.0,4.0,6.0,Low,34,Yes,Yes,1 × 150g sambar + 1 × 100g salad,Yes
95,Roasted Chana + Chai,Snack,Veg,Balanced,"Toning,Yoga",220,10.5,32.0,4.0,8.0,Medium,12,Yes,Yes,1 × 40g roasted chana + 1 × 150ml masala chai,No
96,Chole + 2 Rotis + Salad + Buttermilk,Lunch,Veg,Balanced,"Toning,Yoga",610,23.0,82.0,18.0,14.0,Medium,23,No,Yes,1 × 150g chole + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml buttermilk,Yes
97,Millet Rotis + Dal + Mix Veg + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",660,22.0,94.0,19.0,17.0,Medium,30,Yes,No,2 × 1 millet roti (50g) + 1 × 150g dal + 1 × 150g mixed veg sabzi + 1 × 200ml chaas,No
98,Paneer Curry + 2 Rotis + Salad,Dinner,Veg,Balanced,"Toning,Yoga",610,26.0,58.0,29.0,8.0,Medium,11,No,Yes,1 × 150g paneer curry + 2 × 1 roti (50g) + 1 × 100g salad,Yes
99,Roasted Chana + Chai,Snack,Veg,Balanced,"Toning,Yoga",220,10.5,32.0,4.0,8.0,Medium,29,Yes,Yes,1 × 40g roasted chana + 1 × 150ml masala chai,No
100,Idli Sambar + Chutney + Filter Coffee,Breakfast,Veg,Deficit,"Weight Loss,Yoga",350,12.0,56.0,8.0,5.0,Low,15,Yes,Yes,1 × 2 idlis (100g) + 1 × 150g sambar + 1 × 30g chutney + 1 × 150ml filter coffee,No
101,Papaya + Oats Upma + Chai,Breakfast,Veg,Balanced,Toning,300,9.6,56.0,6.2,6.5,Low,16,Yes,Yes,150g papaya + 150g oats upma + Medium,Yes
102,Banana + Sprouts Chaat + Chaas,Snack,Veg,Balanced,Weight Loss,270,12.0,50.0,3.3,4.6,Low,6,Yes,Yes,1 banana (100g) + 100g sprouts chaat + Low,Yes
103,Banana + Roasted Chana + Chaas,Snack,Veg,Balanced,Toning,350,13.0,63.0,7.3,10.6,Low,19,Yes,Yes,1 banana (100g) + 50g roasted chana + Low,Yes
104,Apple + Sprouts Chaat + Chai,Snack,Veg,Deficit,Weight Loss,212,10.3,40.0,3.2,4.4,Low,20,Yes,Yes,1 apple (100g) + 100g sprouts chaat + Medium,No
105,Apple + Idli + Sambar + Chai,Breakfast,Veg,Balanced,Toning,332,10.3,63.0,5.2,6.4,Low,14,Yes,Yes,1 apple (100g) + 2 idlis (100g) + 150g sambar + Medium,Yes
106,Pomegranate + Idli + Sambar + Coffee,Breakfast,Veg,Balanced,Toning,373,11.7,68.0,5.2,5.2,Medium,6,Yes,Yes,100g pomegranate arils + 2 idlis (100g) + 150g sambar + Medium,No
107,Watermelon + Oats Upma + Chai,Breakfast,Veg,Balanced,Toning,300,10.0,56.0,6.2,4.6,Low,9,Yes,Yes,200g watermelon + 150g oats upma + Medium,Yes
108,Banana + Salad + Coffee,Snack,Veg,Deficit,Weight Loss,200,5.0,39.0,2.3,5.6,Low,13,Yes,Yes,1 banana (100g) + 100g salad + Medium,Yes
109,Banana + Oats Upma + Lime Water,Breakfast,Veg,Balanced,Toning,310,8.0,65.0,4.3,6.6,Low,6,Yes,Yes,1 banana (100g) + 150g oats upma + Low,No
110,Watermelon + Roasted Chana + Chai,Snack,Veg,Balanced,Toning,300,12.0,54.0,7.2,8.6,Low,9,Yes,Yes,200g watermelon + 50g roasted chana + Medium,Yes
111,Pomegranate + Oats Upma + Chaas,Breakfast,Veg,Balanced,Toning,343,11.7,61.0,6.2,5.2,Low,7,Yes,Yes,100g pomegranate arils + 150g oats upma + Low,Yes
112,Banana + Roasted Chana + Chai,Snack,Veg,Balanced,Toning,330,12.0,62.0,7.3,10.6,Low,9,Yes,Yes,1 banana (100g) + 50g roasted chana + Medium,Yes
113,Banana + Sprouts Chaat + Buttermilk,Snack,Veg,Balanced,Weight Loss,280,12.0,51.0,4.3,4.6,Low,15,Yes,Yes,1 banana (100g) + 100g sprouts chaat + Low,No
114,Banana + Poha + Chaas,Breakfast,Veg,Balanced,Toning,340,9.0,63.0,5.3,4.6,Medium,8,Yes,Yes,1 banana (100g) + 150g poha + Low,Yes
115,Apple + Oats Upma + Chaas,Breakfast,Veg,Balanced,Toning,312,10.3,56.0,6.2,6.4,Low,5,Yes,Yes,1 apple (100g) + 150g oats upma + Low,No
116,Watermelon + Salad + Chaas,Snack,Veg,Deficit,Weight Loss,180,6.0,32.0,2.2,3.6,Low,16,Yes,Yes,200g watermelon + 100g salad + Low,Yes
117,Banana + Salad + Buttermilk,Snack,Veg,Deficit,Weight Loss,220,6.0,41.0,3.3,5.6,Low,12,Yes,Yes,1 banana (100g) + 100g salad + Low,Yes
118,Apple + Idli + Sambar + Chai,Breakfast,Veg,Balanced,Toning,332,10.3,63.0,5.2,6.4,Low,10,Yes,Yes,1 apple (100g) + 2 idlis (100g) + 150g sambar + Medium,No
119,Watermelon + Poha + Chaas,Breakfast,Veg,Balanced,Toning,310,9.0,55.0,5.2,2.6,Medium,5,Yes,Yes,200g watermelon + 150g poha + Low,Yes
120,Watermelon + Sprouts Chaat + Lime Water,Snack,Veg,Deficit,Weight Loss,200,9.0,42.0,1.2,2.6,Low,17,Yes,Yes,200g watermelon + 100g sprouts chaat + Low,No
